"","area_fips","agglvl_code","area_title","Type","avg_emplvl_1990","avg_wkly_wage_1990","avg_emplvl_2015","avg_wkly_wage_2015","pct_change","avg_wkly_wage_1990_2015dollars","change_2015dollars"
"1","1000",50,"Alabama","State",1575313,382,1862904,844,1.209424084,692.7188,1.2183876054757
"2","1001",70,"Autauga County, Alabama","County",7758,360,10326,676,0.877777778,652.824,1.03550114579121
"3","1003",70,"Baldwin County, Alabama","County",26174,279,64517,623,1.23297491,505.9386,1.23137471622051
"4","1005",70,"Barbour County, Alabama","County",9208,312,8167,652,1.08974359,565.7808,1.15238975942627
"5","1007",70,"Bibb County, Alabama","County",3886,271,4002,675,1.490774908,491.4314,1.37353860579523
"6","1009",70,"Blount County, Alabama","County",7212,266,7932,614,1.308270677,482.3644,1.27289659021271
"7","1011",70,"Bullock County, Alabama","County",2963,266,2919,576,1.165413534,482.3644,1.19411797388033
"8","1013",70,"Butler County, Alabama","County",5893,297,6805,592,0.993265993,538.5798,1.09918715852321
"9","1015",70,"Calhoun County, Alabama","County",44945,347,43509,675,0.945244957,629.2498,1.07270594285449
"10","1017",70,"Chambers County, Alabama","County",13648,337,7959,638,0.893175074,611.1158,1.04399198973419
"11","1019",70,"Cherokee County, Alabama","County",4241,274,5083,606,1.211678832,496.8716,1.21963098716047
"12","1021",70,"Chilton County, Alabama","County",6081,279,9139,624,1.23655914,505.9386,1.23335124064462
"13","1023",70,"Choctaw County, Alabama","County",5426,487,3338,896,0.839835729,883.1258,1.01457799104046
"14","1025",70,"Clarke County, Alabama","County",8381,338,8253,689,1.038461538,612.9292,1.12411025612746
"15","1027",70,"Clay County, Alabama","County",4348,275,3861,592,1.152727273,498.685,1.18712213120507
"16","1029",70,"Cleburne County, Alabama","County",2551,269,2175,754,1.802973978,487.8046,1.5457008810495
"17","1031",70,"Coffee County, Alabama","County",12241,279,15031,601,1.154121864,505.9386,1.18789117889009
"18","1033",70,"Colbert County, Alabama","County",22417,452,23311,778,0.721238938,819.6568,0.9491777534207
"19","1035",70,"Conecuh County, Alabama","County",3889,290,3504,605,1.086206897,525.886,1.15043944885393
"20","1037",70,"Coosa County, Alabama","County",2157,304,1277,636,1.092105263,551.2736,1.15369210497292
"21","1039",70,"Covington County, Alabama","County",13342,287,12082,611,1.128919861,520.4458,1.17399352631917
"22","1041",70,"Crenshaw County, Alabama","County",3666,244,3733,629,1.577868852,442.4696,1.42156658898148
"23","1043",70,"Cullman County, Alabama","County",20174,325,26961,672,1.067692308,589.355,1.14022957300778
"24","1045",70,"Dale County, Alabama","County",18250,370,16259,925,1.5,670.958,1.3786257858167
"25","1047",70,"Dallas County, Alabama","County",16618,301,12756,660,1.19269103,545.8334,1.20916015765983
"26","1049",70,"DeKalb County, Alabama","County",18569,291,20660,606,1.082474227,527.6994,1.14838106694834
"27","1051",70,"Elmore County, Alabama","County",9518,312,18947,616,0.974358974,565.7808,1.08876087700396
"28","1053",70,"Escambia County, Alabama","County",12012,321,12710,699,1.177570093,582.1014,1.20082171250576
"29","1055",70,"Etowah County, Alabama","County",33568,370,34837,655,0.77027027,670.958,0.976216096983716
"30","1057",70,"Fayette County, Alabama","County",5705,355,3897,598,0.684507042,643.757,0.928921937936209
"31","1059",70,"Franklin County, Alabama","County",8139,288,9919,621,1.15625,522.2592,1.1890647402669
"32","1061",70,"Geneva County, Alabama","County",5960,266,4848,580,1.180451128,482.3644,1.20241045981005
"33","1063",70,"Greene County, Alabama","County",2467,282,1722,581,1.060283688,511.3788,1.13614408731844
"34","1065",70,"Hale County, Alabama","County",3051,251,2761,642,1.557768924,455.1634,1.41048247728178
"35","1067",70,"Henry County, Alabama","County",4552,287,3384,664,1.31358885,520.4458,1.27582929865127
"36","1069",70,"Houston County, Alabama","County",40310,341,46175,739,1.167155425,618.3694,1.1950785404323
