county,employment_1990,employment_2015,wages_1990,wages_2015
"Las Marias Municipio, Puerto Rico",1621,1255,213.9812,289
"Orocovis Municipio, Puerto Rico",1925,3271,215.7946,309
"Lajas Municipio, Puerto Rico",2748,2856,221.2348,311
"Lares Municipio, Puerto Rico",2993,4035,192.2204,317
"Santa Isabel Municipio, Puerto Rico",4702,7701,241.1822,320
"Cabo Rojo Municipio, Puerto Rico",4144,6319,252.0626,321
"Trujillo Alto Municipio, Puerto Rico",6192,11200,308.278,321
"Aguada Municipio, Puerto Rico",3979,4422,253.876,328
"Hormigueros Municipio, Puerto Rico",2588,2439,248.4358,330
"San Sebastian Municipio, Puerto Rico",5941,5264,206.7276,333
"Moca Municipio, Puerto Rico",3331,3564,261.1296,337
"Adjuntas Municipio, Puerto Rico",2060,1850,183.1534,341
"Sabana Grande Municipio, Puerto Rico",2902,2985,237.5554,341
"Culebra Municipio, Puerto Rico",387,421,375.3738,345
"Hatillo Municipio, Puerto Rico",2929,8402,279.2636,348
"Guanica Municipio, Puerto Rico",2063,2200,355.4264,351
"Ciales Municipio, Puerto Rico",2684,1596,253.876,352
"Rincon Municipio, Puerto Rico",1392,1644,317.345,356
"Corozal Municipio, Puerto Rico",3532,4109,181.34,360
"Comerio Municipio, Puerto Rico",1346,2149,221.2348,361
"Quebradillas Municipio, Puerto Rico",2677,2222,206.7276,363
"Yauco Municipio, Puerto Rico",5777,6204,246.6224,363
"Camuy Municipio, Puerto Rico",5920,3226,134.1916,366
"Morovis Municipio, Puerto Rico",2781,2393,224.8616,368
"Loiza Municipio, Puerto Rico",1774,1491,275.6368,368
"Patillas Municipio, Puerto Rico",1995,1581,255.6894,370
"Delta County, Texas",838,1376,460.6036,372
"Aguas Buenas Municipio, Puerto Rico",2593,1838,239.3688,373
"Coamo Municipio, Puerto Rico",4539,3945,250.2492,373
"Naranjito Municipio, Puerto Rico",2367,2800,232.1152,375
"Boise County, Idaho",856,1687,424.3356,381
"Toa Alta Municipio, Puerto Rico",3359,3678,284.7038,392
"Barranquitas Municipio, Puerto Rico",3326,3133,255.6894,396
"Vega Alta Municipio, Puerto Rico",4825,4631,266.5698,397
"Florida Municipio, Puerto Rico",728,1155,333.6656,398
"Ceiba Municipio, Puerto Rico",4194,1107,213.9812,399
"Issaquena County, Mississippi",207,184,397.1346,409
"Luquillo Municipio, Puerto Rico",2315,2007,368.1202,410
"Yabucoa Municipio, Puerto Rico",5025,3024,253.876,411
"Loup County, Nebraska",41,109,322.7852,413
"Ozark County, Missouri",1243,1539,395.3212,414
"Oregon County, Missouri",1708,2350,391.6944,415
"Utuado Municipio, Puerto Rico",4018,3826,270.1966,416
"Naguabo Municipio, Puerto Rico",2118,1857,317.345,417
"Ripley County, Missouri",2083,2833,424.3356,423
"Wayne County, Missouri",2845,2685,397.1346,426
"San German Municipio, Puerto Rico",7844,8875,170.4596,430
"Shannon County, Missouri",1442,1373,391.6944,430
"Rio Grande Municipio, Puerto Rico",4217,5587,311.9048,432
"Toa Baja Municipio, Puerto Rico",9513,12895,281.077,434
"Ponce Municipio, Puerto Rico",50028,49777,223.0482,435
"Newton County, Arkansas",829,1106,400.7614,435
"Mellette County, South Dakota",280,351,389.881,436
"Woodson County, Kansas",788,692,469.6706,437
"Mayaguez Municipio, Puerto Rico",43140,31471,192.2204,438
"Elk County, Kansas",637,637,402.5748,438
"Carter County, Missouri",1179,1326,455.1634,441
"Hickory County, Missouri",932,1183,386.2542,443
"Maricao Municipio, Puerto Rico",1849,1156,146.8854,445
"Isabela Municipio, Puerto Rico",5696,6658,221.2348,450
"Vieques Municipio, Puerto Rico",1151,1834,315.5316,450
"Keweenaw County, Michigan",162,327,375.3738,450
"Dallas County, Missouri",2008,2372,417.082,450
"Clark County, Missouri",1351,1457,398.948,451
"Juana Diaz Municipio, Puerto Rico",4169,6602,279.2636,453
"Searcy County, Arkansas",1683,1542,379.0006,454
"Knox County, Missouri",1010,1067,427.9624,454
"Hooker County, Nebraska",233,254,369.9336,455
"Reynolds County, Missouri",1720,1615,631.0632,455
"Dunklin County, Missouri",8928,9900,480.551,457
"Bayamon Municipio, Puerto Rico",44914,55981,255.6894,458
"Douglas County, Missouri",2175,2323,437.0294,458
"Calhoun County, Illinois",552,735,404.3882,459
"Worth County, Missouri",583,395,359.0532,462
"Canovanas Municipio, Puerto Rico",4476,6034,319.1584,463
"Guayanilla Municipio, Puerto Rico",2495,2057,232.1152,464
"Penuelas Municipio, Puerto Rico",3256,2847,319.1584,464
"Washington County, Kansas",1959,2003,391.6944,466
"Grundy County, Tennessee",2093,2095,389.881,468
"Granite County, Montana",714,820,482.3644,468
"San Juan County, Colorado",368,244,952.035,468
"Caguas Municipio, Puerto Rico",31167,46385,237.5554,469
"Keya Paha County, Nebraska",116,171,373.5604,469
"Meagher County, Montana",493,635,380.814,469
"Schuyler County, Missouri",638,612,429.7758,469
"Daviess County, Missouri",1545,1444,408.015,470
"Brown County, Indiana",2248,2706,411.6418,470
"Salinas Municipio, Puerto Rico",5003,3819,204.9142,472
"Piute County, Utah",174,242,451.5366,472
"Howard County, Missouri",2346,2622,453.35,472
"Stone County, Arkansas",2108,2417,415.2686,473
"Cedar County, Missouri",2842,3194,451.5366,473
"Foard County, Texas",427,321,426.149,474
"Montgomery County, Arkansas",1215,1362,447.9098,474
"Glascock County, Georgia",611,395,491.4314,474
"Aibonito Municipio, Puerto Rico",4379,5356,195.8472,475
"Comanche County, Kansas",748,665,393.5078,476
"Bollinger County, Missouri",1668,1824,429.7758,476
"Wade Hampton Census Area, Alaska",1381,2261,621.9962,477
"Osage County, Kansas",2891,2855,458.7902,479
"Morgan County, Missouri",3249,4009,433.4026,480
"Grant County, Nebraska",225,273,451.5366,480
"Villalba Municipio, Puerto Rico",2081,3374,262.943,482
"St. Clair County, Missouri",1734,1678,426.149,482
"Oneida County, Idaho",627,1033,473.2974,482
"Henderson County, Illinois",799,1054,375.3738,483
"Taliaferro County, Georgia",228,195,446.0964,483
"Sheridan County, North Dakota",304,234,456.9768,484
"Florence County, Wisconsin",757,916,527.6994,484
"Treutlen County, Georgia",1319,1057,346.3594,485
"Carolina Municipio, Puerto Rico",41233,46822,293.7708,487
"Robertson County, Kentucky",162,277,476.9242,487
"Garfield County, Montana",293,267,388.0676,488
"Arthur County, Nebraska",88,84,402.5748,488
"Menard County, Texas",473,418,473.2974,488
"Dorado Municipio, Puerto Rico",7149,7931,232.1152,490
"Fulton County, Arkansas",1628,1880,397.1346,490
"Hancock County, Tennessee",880,821,449.7232,490
"Ohio County, Indiana",530,1382,451.5366,490
"Franklin County, Idaho",1585,3184,453.35,490
"Morris County, Kansas",1462,1467,451.5366,493
"Owsley County, Kentucky",490,656,451.5366,493
"Shelby County, Missouri",1765,1734,500.4984,493
"Sequoyah County, Oklahoma",5373,8808,489.618,494
"Maries County, Missouri",1261,1247,469.6706,495
"Patrick County, Virginia",5132,4779,505.9386,495
"Arecibo Municipio, Puerto Rico",21463,20429,212.1678,496
"Crittenden County, Kentucky",1952,1873,496.8716,496
"Oglethorpe County, Georgia",1298,1729,502.3118,496
"Sherman County, Nebraska",759,785,369.9336,498
"Highland County, Virginia",581,504,427.9624,498
"Green County, Kentucky",2292,1760,444.283,498
"Towns County, Georgia",1633,3357,447.9098,498
"Boyd County, Nebraska",560,564,380.814,499
"Golden Valley County, Montana",163,182,444.283,500
"Randolph County, Arkansas",4536,4239,489.618,500
"Haskell County, Oklahoma",2290,3530,493.2448,500
"Mathews County, Virginia",1300,1399,453.35,501
"Jewell County, Kansas",891,724,444.283,502
"Scott County, Arkansas",2613,3066,464.2304,502
"Wright County, Missouri",4523,4198,458.7902,504
"Cook County, Georgia",3952,3817,493.2448,504
"Cayey Municipio, Puerto Rico",8449,10272,261.1296,505
"Republic County, Kansas",2119,1962,456.9768,505
"Chautauqua County, Kansas",975,751,458.7902,506
"Carroll County, Arkansas",6162,10056,502.3118,506
"Fajardo Municipio, Puerto Rico",8478,11799,264.7564,507
"Day County, South Dakota",1870,1869,427.9624,507
"Anasco Municipio, Puerto Rico",4267,5576,184.9668,508
"Harris County, Georgia",3262,4354,460.6036,508
"Perry County, Tennessee",2086,1939,524.0726,508
"Garfield County, Nebraska",659,816,362.68,509
"Jefferson County, Mississippi",1223,1286,489.618,509
"Dade County, Missouri",1502,1668,415.2686,510
"Decatur County, Kansas",1257,936,426.149,510
"Real County, Texas",393,717,427.9624,510
"Lincoln County, Kansas",973,963,408.015,511
"Wilcox County, Georgia",1370,1162,426.149,511
"Bear Lake County, Idaho",1031,1542,435.216,511
"Humphreys County, Mississippi",3592,2245,437.0294,511
"Stone County, Missouri",3261,4791,449.7232,511
"Sevier County, Tennessee",16906,39602,478.7376,511
"Logan County, Nebraska",168,196,500.4984,511
"Telfair County, Georgia",4455,3706,518.6324,511
"Vega Baja Municipio, Puerto Rico",7689,8279,255.6894,512
"Bennett County, South Dakota",742,842,438.8428,512
"McIntosh County, Georgia",1778,1730,462.417,512
"Cloud County, Kansas",3941,3496,485.9912,512
"Lewis County, Tennessee",2652,2489,534.953,512
"Osborne County, Kansas",1511,1406,437.0294,513
"Harrison County, Missouri",2444,2539,398.948,514
"Petroleum County, Montana",63,93,447.9098,514
"Candler County, Georgia",2263,2803,509.5654,514
"Jayuya Municipio, Puerto Rico",2117,2682,299.211,515
"Sharp County, Arkansas",2453,3724,464.2304,515
"Rains County, Texas",918,1816,524.0726,515
"Dawson County, Georgia",1095,7377,554.9004,515
"Hickman County, Kentucky",1224,1074,418.8954,516
"Sharkey County, Mississippi",1859,1163,471.484,516
"Stafford County, Kansas",1378,1334,487.8046,516
"Motley County, Texas",341,293,520.4458,516
"Cherry County, Nebraska",1531,2189,418.8954,517
"Wabaunsee County, Kansas",1123,1299,418.8954,517
"Smith County, Kansas",1462,1324,426.149,517
