area_title,employment_1990,employment_2015,wages_1990,wages_2015
Alabama,1575313,1862904,692.7188,844
Alaska,219432,319230,997.37,1049
Arizona,1491958,2594812,728.9868,925
Arkansas,881943,1162444,616.556,789
California,13029134,15936444,906.7,1206
Colorado,1468756,2446091,788.829,1071
Connecticut,1613752,1635880,995.5566,1382
Delaware,336724,420992,866.8052,1105
Florida,5423764,7964061,710.8528,885
Georgia,2897419,4070803,761.628,989
Hawaii,522973,632533,772.5084,881
Idaho,429268,640153,545.8334,736
Illinois,5091023,5704080,870.432,1132
Indiana,2400591,2875563,754.3744,857
Iowa,1139509,1498279,660.0776,847
Kansas,1043993,1350790,689.092,850
Kentucky,1385121,1803531,674.5848,822
Louisiana,1510150,1923635,699.9724,883
Maine,516276,569443,698.159,795
Maryland,2111316,2529654,866.8052,1112
Massachusetts,2932276,3329286,917.5804,1341
Michigan,3780225,4060125,912.1402,969
Minnesota,2014174,2700961,788.829,1078
Mississippi,897214,1099146,598.422,710
Missouri,2245227,2661987,745.3074,882
Montana,275333,436739,607.489,749
Nebraska,690388,937792,634.69,817
Nevada,596088,1220959,759.8146,865
New Hampshire,496214,622372,767.0682,982
New Jersey,3566283,3796464,979.236,1290
New Mexico,543572,798255,661.891,805
New York,8031691,8819820,1026.3844,1460
North Carolina,3032740,4075902,692.7188,930
North Dakota,237996,438104,600.2354,983
Ohio,4656786,5125844,776.1352,920
Oklahoma,1149347,1591133,692.7188,869
Oregon,1190695,1738959,723.5466,918
Pennsylvania,4985711,5582818,797.896,1032
Rhode Island,443458,454737,774.3218,1007
South Carolina,1484679,1904904,667.3312,800
South Dakota,261800,403899,560.3406,762
Tennessee,2112535,2757308,703.5992,884
Texas,6819828,11514603,774.3218,1089
Utah,704428,1308814,665.5178,844
Vermont,252639,304578,701.7858,824
Virginia,2794524,3643373,781.5754,1070
Washington,2039428,3028906,788.829,1088
West Virginia,586041,690715,718.1064,792
Wisconsin,2148349,2723013,723.5466,877
Wyoming,179615,277728,683.6518,892
